ID	комнат\тип	цена	район	ориентир	улица	этаж	этажность	общая площадь	жилая площадь	площадь кухни	схема	материал	с\у	балкон	состояние	телефон 1	комментарий
394284	4и	122	Центр	метро Пушкинская	Пушкинский въезд	2	5	107	70	18	3+1	кир.	разд.	2 бал.заст.	капитальный	095-736-56-30	
394287	3и	24,7	Одесская	строительный магазин	Достоевского ул.	2	2	46	30	7	2+1	кир.	совм.	1 балкон	капитальный	093-812-36-75	
394292	1и	20,5	Салтовка 602м/р	фитнес клуб "Аура"	Познанская ул.	1	9	35	17	7	разд	пан.	разд.	2 бал.заст.	жилое	099-291-48-57	
394295	1г	18	Старая Салтовка	Французский бульвар	Белостокский пер.	1	2	20	17	3	разд	кир.	совм.	Балк. НЕТ	евроремонт	063-643-18-52	
394298	2и	24	Салтовка 608м/р	Сильпо	Гвардейцев Широнинцев ул.	4	5	47	28	6	разд	пан.	разд.	1 балк.заст.	жилое	095-205-81-86	
394300	3и	52	м. Спортивная	151 школа	Фесенковская ул.	6	12	65	44	7	разд	пан.	разд.	1 балк.заст.	средний	099-204-08-02	
394301	1н	45	Алексеевка	м"Алексеевская"	Целиноградская ул.	6	20	58	25	16	разд	монол	совм.	1 балкон	строительный	063-635-74-01	
394305	1г	11,5	Салтовка 626м/р	М Масельского	Благодатная ул.	3	9	27	16	2	разд	кир.	совм.	Балк. НЕТ	капитальный	093-660-26-02	
394306	1и	30,5	Салтовка 603м/р	ТРК УКРАИНА	Тракторостроителей просп.	4	9	33	17	8	разд	пан.	совм.	1 балкон	евроремонт	093-660-26-02	
394309	3и	65	Центр	Павловская площадь	Розы Люксембург пл.	8	8	82	55	8	разд	кир.	разд.	2 бал.заст.	жилое	066-157-40-65	
394313	3и	13	Балаклейский район	Балаклея	Соборная	5	5	55	40	5	2+1	кир.	разд.	1 балк.заст.	косметика	050-738-32-88	
394315	2и	8	Балаклейский район	Балаклея	пл Ростовцева	3	5	44	30	7	смеж	кир.	совм.	1 балк.заст.	косметика	066-103-86-33	
394316	1и	58	Центр	м. Исторический музей	Граборовского	3	4	47	31	8	разд	кир.	совм.	Балк. НЕТ	капитальный	098-240-11-34	
394317	4и	12	Балаклейский район	Балаклея	1-го Мая	9	9	90	70	12	разд	монол	разд.	1 балк.заст.	без ремонта	066-103-86-33	
394320	2и	7	Балаклейский район	Балаклея	Октябрьская	2	5	43	19	7	смеж	кир.	совм.	1 балкон	жилое	095-348-19-65	
394321	2и	9	Балаклейский район	Балаклея	Соборная	5	5	47	36	7	разд	кир.	разд.	1 балкон	косметика	095-348-19-65	
394322	1п	7	Холодная Гора	РОВД	Любви Малой просп.	1	3	29	18	7	разд	кир.	разд.	Балк. НЕТ	жилое	096-589-24-86	
394324	2и	13	Балаклейский район	Балаклея	Соборная	1	5	52	30	8	разд	пан.	разд.	1 балк.заст.	средний	095-867-14-93	
394326	3и	9	Балаклейский район	Балаклея	Соборная	5	9	65	43	7	разд	пан.	разд.	1 балкон	косметика	095-867-14-93	
394328	1и	6	Балаклейский район	Балаклея	Соборная	1	5	36	18	8	разд	пан.	разд.	1 балк.заст.	косметика	095-867-14-93	
394330	2и	11	Балаклейский район	Балаклея	Соборная	1	5	44	30	10	разд	кир.	совм.	Балк. НЕТ	без ремонта	095-867-14-93	
394334	1г	2,8	Балаклейский район	Балаклея	Соборная	3	3	30	20	10	разд	кир.	общий	Балк. НЕТ	жилое	095-867-14-93	
394335	1и	11,8	Балаклейский район	Балаклея	пл. Ростовцева	4	5	33	17	7	разд	кир.	совм.	1 балк.заст.	капитальный	095-867-14-93	
394336	3и	10,9	Балаклейский район	Балаклея	Ивана Франко	1	4	54	40	6	2+1	кир.	совм.	Балк. НЕТ	капитальный	099-348-78-44	
394337	2и	23	Старая Салтовка	ул.Камышева/пр.Л.Ландау	Леонида Быкова ул.	1	2	45	30	5	разд	кир.	совм.	Балк. НЕТ	жилое	050-364-00-35	
394338	3и	9,5	Балаклейский район	Балаклея	Соборная	3	5	55	3	6	смеж	кир.	совм.	1 балк.заст.	жилое	066-103-86-33	
